2018/12/26 14:50:34.430 [D]  init logger succ
2018/12/26 15:02:07.334 [D]  init logger succ
2018/12/26 15:55:33.496 [D]  init logger succ
2018/12/26 15:55:34.249 [E]  init kafka failed ,err=kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:55:34.249 [E]  init kafka failed,err= kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:58:17.583 [D]  init logger succ
2018/12/26 15:58:18.335 [E]  init kafka failed ,err=kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:58:18.335 [E]  init kafka failed,err= kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 16:12:11.814 [D]  init logger succ
2018/12/26 16:12:11.829 [D]  initKafka succ
2018/12/26 16:12:11.856 [D]  init ES succ
2018/12/26 16:20:14.501 [D]  partition:2,offset:46,Key:,Value:2018/12/26 01:36:30.512 [D]  init etcd success
2018/12/26 16:20:14.508 [D]  partition:7,offset:28,Key:,Value:2018/12/26 01:38:04.027 [D]  initTailf success
2018/12/26 16:20:14.509 [D]  partition:0,offset:32,Key:,Value:2018/12/26 01:38:05.037 [D]  test for logger 2
2018/12/26 16:20:14.523 [D]  partition:6,offset:41,Key:,Value:2018/12/26 01:21:55.363 [D]  init etcd success
2018/12/26 16:20:14.527 [D]  partition:4,offset:29,Key:,Value:2018/12/26 01:52:44.084 [D]  test for logger 20
2018/12/26 16:20:14.532 [D]  partition:5,offset:34,Key:,Value:2018/12/26 01:36:30.513 [D]  begin watch key:/oldboy/backend/logagent/config/192.168.76.139
2018/12/26 16:20:14.538 [D]  partition:3,offset:28,Key:,Value:2018/12/26 01:38:04.028 [D]  begin watch key:/oldboy/backend/logagent/config/192.168.76.139
2018/12/26 16:20:14.559 [D]  partition:2,offset:47,Key:,Value:2018/12/26 01:38:04.027 [D]  resp from etcd:[key:"/oldboy/backend/logagent/config/192.168.76.139" create_revision:107 mod_revision:107 version:1 value:"[{\"logpath\":\"/home/alan8254402/go/src/LCS/logsForTest/logAgent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"../main/logs/nginx/err.log\",\"topic\":\"nginx_log_err2\"}]" ]
2018/12/26 16:20:14.563 [D]  partition:1,offset:38,Key:,Value:2018/12/26 01:36:30.512 [D]  log config is [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log} {../main/logs/nginx/err.log nginx_log_err2}]
2018/12/26 16:20:14.572 [D]  partition:0,offset:33,Key:,Value:2018/12/26 01:52:37.078 [D]  test for logger 13
